week	country	total_views
2025-08-04	Saudi Arabia	44
2025-08-04	Serbia	1
2025-08-04	Singapore	16
2025-08-04	Slovakia	10
2025-08-04	Slovenia	8
2025-08-04	South Africa	69
2025-08-04	South Korea	11
2025-08-04	Spain	35
2025-08-04	Sri Lanka	2
2025-08-04	St. Barthélemy	1
2025-08-04	St. Vincent & Grenadines	1
2025-08-04	Sweden	32
2025-08-04	Switzerland	22
2025-08-04	Taiwan	6
2025-08-04	Tanzania	4
2025-08-04	Thailand	10
2025-08-04	Tonga	1
2025-08-04	Trinidad & Tobago	3
2025-08-04	Tunisia	1
2025-08-04	Türkiye	12
2025-08-04	Uganda	1
2025-08-04	United Arab Emirates	24
2025-08-04	United Kingdom	310
2025-08-04	United States	8143
2025-08-04	Uruguay	7
2025-08-04	Vanuatu	1
2025-08-04	Venezuela	37
2025-08-04	Vietnam	1
2025-08-04	Zambia	1
2025-08-04	Zimbabwe	2
2025-08-11	Algeria	5
2025-08-11	Argentina	40
2025-08-11	Australia	543
2025-08-11	Austria	10
2025-08-11	Azerbaijan	3
2025-08-11	Bahamas	8
2025-08-11	Bahrain	15
2025-08-11	Barbados	3
2025-08-11	Belgium	16
2025-08-11	Belize	1
2025-08-11	Bolivia	2
2025-08-11	Brazil	61
2025-08-11	Bulgaria	4
2025-08-11	Canada	1063
2025-08-11	Chile	34
2025-08-11	China	2
2025-08-11	Colombia	18
2025-08-11	Costa Rica	6
2025-08-11	Croatia	5
2025-08-11	Cyprus	4
2025-08-11	Czechia	10
2025-08-11	Denmark	16
2025-08-11	Dominican Republic	22
2025-08-11	Ecuador	9
2025-08-11	Egypt	5
2025-08-11	El Salvador	6
2025-08-11	Estonia	4
2025-08-11	Eswatini	1
2025-08-11	Fiji	1
2025-08-11	Finland	6
2025-08-11	France	41
2025-08-11	Georgia	2
2025-08-11	Germany	105
2025-08-11	Ghana	2
2025-08-11	Greece	13
2025-08-11	Guadeloupe	2
2025-08-11	Guam	2
2025-08-11	Guatemala	4
2025-08-11	Honduras	6
2025-08-11	Hong Kong	3
2025-08-11	Hungary	5
2025-08-11	Iceland	4
2025-08-11	India	158
2025-08-11	Indonesia	28
2025-08-11	Iran	6
2025-08-11	Iraq	2
2025-08-11	Ireland	40
2025-08-11	Israel	64
2025-08-11	Italy	21
2025-08-11	Jamaica	2
2025-08-11	Japan	26
2025-08-11	Jordan	8
2025-08-11	Kazakhstan	2
2025-08-11	Kenya	1
2025-08-11	Kuwait	14
2025-08-11	Lebanon	11
2025-08-11	Libya	2
2025-08-11	Luxembourg	2
2025-08-11	Malaysia	17
2025-08-11	Malta	8
2025-08-11	Martinique	1
2025-08-11	Mauritius	2
2025-08-11	Mexico	126
2025-08-11	Morocco	5
2025-08-11	Namibia	1
2025-08-11	Netherlands	38
2025-08-11	New Zealand	55
2025-08-11	Nigeria	1
2025-08-11	Norway	5
2025-08-11	Oman	5
2025-08-11	Pakistan	14
2025-08-11	Palestine	2
2025-08-11	Panama	7
2025-08-11	Paraguay	5
2025-08-11	Peru	9
2025-08-11	Philippines	49
2025-08-11	Poland	16
2025-08-11	Portugal	12
2025-08-11	Puerto Rico	13
